Ticker, Quantity, Price, Date, Transaction Type
DIS, 1, 103.58, 2020-04-20, SOLD
PG, 2, 111.392, 2020-04-20, SOLD
NFLX, 1, 435.17, 2020-04-20, SOLD
NTDOY, 2, 10.57, 2020-04-20, SOLD
SQ, 1, 60, 2020-04-21, BOUGHT
HMC, 1, 20.5043, 2020-04-21, SOLD
MAR, 1, 76.5423, 2020-04-21, SOLD
HLT, 1, 69.875, 2020-04-21, SOLD
JNJ, 2, 136.76, 2020-04-21, SOLD
PHG, 2, 40.0647, 2020-04-21, SOLD
FL, 1, 19.5248, 2020-04-21, SOLD
MSFT, 1, 167.988, 2020-04-21, SOLD
UBSFY, 1, 14.39, 2020-04-21, SOLD
PTON, 1, 31.8, 2020-04-22, BOUGHT
DIS, 1, 101.8, 2020-04-22, BOUGHT
DAL, 1, 23.8299, 2020-04-22, BOUGHT
LUV, 1, 29.9783, 2020-04-22, BOUGHT
AAPL, 1, 67.4385, 2020-04-23, BOUGHT
GOOGL, 1, 63.287, 2020-04-23, BOUGHT
ZM, 1, 154.01, 2020-04-23, BOUGHT
COST, 1, 291.418, 2020-04-23, BOUGHT
TGT, 1, 97.3909, 2020-04-24, BOUGHT
AXP, 1, 80.5284, 2020-04-24, BOUGHT
MA, 1, 253.853, 2020-04-24, BOUGHT
JPM, 1, 82.2747, 2020-04-24, BOUGHT
SHOP, 1, 62.4, 2020-04-24, SOLD
PTON, 1, 32.44, 2020-04-27, BOUGHT
CROX, 1, 21.79, 2020-04-27, BOUGHT
SPOT, 1, 140.1, 2020-04-27, BOUGHT
DAL, 1, 22.7821, 2020-04-27, BOUGHT
ZM, 1, 156.59, 2020-04-27, SOLD
ADDYY, 1, 109.062, 2020-04-28, BOUGHT
AEO, 1, 7.55428, 2020-04-28, BOUGHT
TSLA, 1, 53.0427, 2020-04-28, BOUGHT
CRM, 1, 159.5, 2020-04-28, BOUGHT
PTON, 2, 31.94, 2020-04-28, SOLD
GOOGL, 1, 64.16, 2020-04-28, SOLD
LUV, 1, 28.8626, 2020-04-29, BOUGHT
UL, 1, 45.7382, 2020-04-29, BOUGHT
MAR, 1, 89.6954, 2020-04-29, BOUGHT
TM, 1, 127.66, 2020-04-29, BOUGHT
CROX, 1, 24.32, 2020-04-29, SOLD
AAPL, 1, 69.6044, 2020-04-29, SOLD
TSLA, 1, 52.678, 2020-04-29, SOLD
PTON, 1, 32.44, 2020-04-30, BOUGHT
AMZN, 1, 120.992, 2020-04-30, BOUGHT
HSY, 1, 125.695, 2020-04-30, BOUGHT
MMM, 1, 133.695, 2020-04-30, BOUGHT
TGT, 1, 103.523, 2020-04-30, SOLD
SPOT, 1, 148.94, 2020-04-30, SOLD
DIS, 1, 109.44, 2020-04-30, SOLD
MA, 1, 273.499, 2020-04-30, SOLD
JPM, 1, 86.7769, 2020-04-30, SOLD
TM, 1, 124.9, 2020-04-30, SOLD
CL, 1, 65.0082, 2020-05-01, BOUGHT
PG, 1, 108.562, 2020-05-01, BOUGHT
JWN, 1, 16.8438, 2020-05-01, BOUGHT
PTON, 1, 31.03, 2020-05-01, SOLD
ADDYY, 2, 109.101, 2020-05-01, SOLD
DAL, 3, 24.8977, 2020-05-01, SOLD
LUV, 3, 29.8511, 2020-05-01, SOLD
CRM, 1, 158.49, 2020-05-01, SOLD
AXP, 1, 84.3285, 2020-05-01, SOLD
MAR, 1, 85.8698, 2020-05-01, SOLD
FDX, 1, 118.135, 2020-05-01, SOLD
MMM, 4, 129.354, 2020-05-01, SOLD
ZM, 1, 140.77, 2020-05-04, BOUGHT
COST, 1, 288.25, 2020-05-04, BOUGHT
HSY, 1, 123.164, 2020-05-04, BOUGHT
SHOP, 1, 62.064, 2020-05-04, BOUGHT
